,target
0,0
1,0
2,1
3,1
4,0
5,0
6,0
7,0
8,1
9,1
10,1
11,0
12,1
13,0
14,0
15,0
16,0
17,1
18,0
19,1
20,0
21,1
22,1
23,1
24,0
25,0
26,0
27,1
28,0
29,0
30,0
31,1
32,0
33,1
34,0
35,1
36,0
37,0
38,1
39,0
40,0
41,0
42,1
43,0
44,1
45,0
46,1
47,1
48,1
49,1
50,1
51,0
52,1
53,0
54,1
55,1
56,1
57,1
58,0
59,1
60,0
61,0
62,0
63,1
64,1
65,1
66,0
67,0
68,1
69,1
70,1
71,1
72,0
73,0
74,1
75,1
76,0
77,0
78,0
79,0
80,0
81,1
82,1
83,1
84,0
85,0
86,0
87,0
88,1
89,0
90,1
91,0
92,0
93,0
94,0
95,0
96,1
97,0
98,0
99,1
100,0
101,0
102,0
103,0
104,0
105,1
106,1
107,0
108,1
109,0
110,0
111,1
112,1
113,0
114,0
115,0
116,1
117,1
118,1
119,0
120,1
121,1
122,0
123,0
124,1
125,1
126,0
127,1
128,1
129,0
130,0
131,0
132,1
133,1
134,0
135,1
136,0
137,1
138,1
139,0
140,0
141,0
142,0
143,0
144,1
145,1
146,1
147,0
148,1
149,0
150,1
151,1
152,0
153,0
154,1
155,1
156,0
157,0
158,1
159,1
160,0
161,1
162,0
163,1
164,0
165,0
166,0
167,1
168,0
169,1
170,1
171,1
172,1
173,0
174,1
175,1
176,1
177,1
178,0
179,1
180,1
181,1
182,1
183,0
184,1
185,0
186,0
187,1
188,1
189,1
190,1
191,1
192,0
193,1
194,1
195,0
196,0
197,1
198,1
199,1
200,1
201,1
202,0
203,1
204,1
205,1
206,1
207,0
208,1
209,1
210,1
211,0
212,1
213,0
214,1
215,1
216,1
217,0
218,0
219,0
220,1
221,0
222,1
223,0
224,1
225,0
226,0
227,1
228,0
229,1
230,0
231,1
232,0
233,1
234,0
235,0
236,1
237,1
238,1
239,1
240,0
241,0
242,1
243,0
244,1
245,1
246,1
247,1
248,0
249,0
250,0
251,0
252,1
253,0
254,1
255,0
256,0
257,0
258,1
259,1
260,0
261,0
262,0
263,1
264,0
265,1
266,1
267,0
268,0
269,1
270,0
271,1
272,0
273,1
274,1
275,1
276,1
277,1
278,0
279,0
280,1
281,0
282,0
283,0
284,0
285,1
286,1
287,0
288,0
289,0
290,0
291,1
292,1
293,1
294,0
295,0
296,0
297,1
298,1
299,0
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,1
308,1
309,1
310,0
311,1
312,1
313,1
314,0
315,1
316,1
317,0
318,0
319,1
320,1
321,1
322,0
323,0
324,0
325,0
326,1
327,1
328,1
329,1
330,0
331,0
332,0
333,1
334,0
335,0
336,0
337,1
338,0
339,1
340,0
341,0
342,0
343,0
344,1
345,1
346,0
347,1
348,0
349,1
350,0
351,1
352,0
353,1
354,0
355,1
356,1
357,1
358,0
359,0
360,1
361,0
362,1
363,0
364,0
365,0
366,1
367,0
368,1
369,0
370,0
371,1
372,0
373,1
374,0
375,1
376,1
377,1
378,0
379,1
380,0
381,1
382,0
383,0
384,0
385,1
386,1
387,1
388,0
389,0
390,1
391,1
392,1
393,0
394,1
395,0
396,1
397,0
398,0
399,0
400,0
401,0
402,1
403,0
404,1
405,0
406,0
407,0
408,1
409,0
410,1
411,0
412,0
413,0
414,0
415,1
416,1
417,0
418,0
419,0
420,0
421,1
422,1
423,0
424,1
425,0
426,0
427,1
428,0
429,1
430,0
431,0
432,1
433,0
434,1
435,0
436,1
437,1
438,0
439,1
440,0
441,0
442,0
443,0
444,1
445,0
446,0
447,1
448,0
449,0
450,1
451,1
452,1
453,1
454,1
455,1
456,1
457,0
458,1
459,1
460,1
461,1
462,0
463,1
464,1
465,1
466,1
467,0
468,0
469,1
470,0
471,0
472,0
473,1
474,1
475,0
476,0
477,1
478,1
479,0
480,0
481,1
482,0
483,0
484,0
485,0
486,1
487,1
488,1
489,1
490,1
491,1
492,0
493,1
494,0
495,1
496,0
497,0
498,1
499,1
500,0
501,0
502,0
503,1
504,0
505,1
506,1
507,1
508,1
509,1
510,0
511,1
512,0
513,0
514,1
515,0
516,1
517,0
518,1
519,1
520,0
521,0
522,0
523,1
524,1
525,1
526,1
527,1
528,1
529,1
530,1
531,1
532,1
